Steps,Policy/Entropy,Environment/Episode Length,Environment/Lesson,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.12371,40.27160493827161,0.0,18.508642,-0.8466355343741819,-0.8466355343741819,1.0
20000,2.1143625,43.355555555555554,0.0,18.356112,-0.8571991152233548,-0.8571991152233548,1.0
30000,2.1367579,44.527272727272724,0.0,12.23222,-0.8360236371105367,-0.8360236371105367,1.0
40000,2.1148877,46.82857142857143,0.0,12.239468,-0.7963177017047645,-0.7963177017047645,1.0
50000,2.1355672,44.36529680365297,0.0,9.843467,-0.8055653008696151,-0.8055653008696151,1.0
60000,2.1623275,44.20454545454545,0.0,9.380558,-0.8057567508102538,-0.8057567508102538,1.0
70000,2.2085576,44.22171945701358,0.0,8.014384,-0.7960307754542493,-0.7960307754542493,1.0
80000,2.2235065,45.31481481481482,0.0,7.6459103,-0.7865361132555537,-0.7865361132555537,1.0
90000,2.2319834,46.44761904761905,0.0,6.588284,-0.7887696702898396,-0.7887696702898396,1.0
100000,2.2560172,44.949771689497716,0.0,6.256347,-0.793255043822691,-0.793255043822691,1.0
110000,2.2682343,46.03791469194313,0.0,5.7524285,-0.7756509361964352,-0.7756509361964352,1.0
120000,2.2432091,48.05882352941177,0.0,5.672559,-0.7543147049990355,-0.7543147049990355,1.0
130000,2.2471752,46.81428571428572,0.0,5.0114026,-0.7450323729288011,-0.7450323729288011,1.0
140000,2.2674985,48.04926108374384,0.0,4.6568747,-0.7397607813278834,-0.7397607813278834,1.0
150000,2.2650738,45.31336405529954,0.0,3.887398,-0.7657546303062527,-0.7657546303062527,1.0
160000,2.2436404,50.05154639175258,0.0,3.677083,-0.6907183643506498,-0.6907183643506498,1.0
170000,2.2612588,49.381909547738694,0.0,3.0751708,-0.7258803976241068,-0.7258803976241068,1.0
180000,2.2587764,48.663366336633665,0.0,2.6073744,-0.7126217789874219,-0.7126217789874219,1.0
190000,2.248408,48.994974874371856,0.0,2.553442,-0.7070159906148911,-0.7070159906148911,1.0
200000,2.2427733,51.44210526315789,0.0,2.3260272,-0.6722785328071155,-0.6722785328071155,1.0
210000,2.2635212,49.85279187817259,0.0,2.1530368,-0.684963447037082,-0.684963447037082,1.0
220000,2.2610805,52.91935483870968,0.0,2.0422502,-0.661726475567431,-0.661726475567431,1.0
230000,2.2605639,50.3041237113402,0.0,1.9633554,-0.6918420522640913,-0.6918420522640913,1.0
240000,2.235125,50.765625,0.0,1.8174583,-0.6473201947199866,-0.6473201947199866,1.0
250000,2.223738,56.44571428571429,0.0,1.5963562,-0.5969177072388785,-0.5969177072388785,1.0
260000,2.261496,56.566473988439306,0.0,1.4400694,-0.5947248430954928,-0.5947248430954928,1.0
