Steps,Policy/Entropy,Environment/Episode Length,Environment/Lesson,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.9466618,35.64363636363636,0.0,10.720615,-0.8970402944218981,-0.8970402944218981,1.0
20000,1.9961196,37.1,0.0,9.96006,-0.8831297726804064,-0.8831297726804064,1.0
30000,1.898569,39.36144578313253,0.0,7.81234,-0.8830313270829289,-0.8830313270829289,1.0
40000,1.9285077,36.49438202247191,0.0,7.738485,-0.9132571406382367,-0.9132571406382367,1.0
50000,1.8859783,37.26744186046512,0.0,6.1397285,-0.8942222280063848,-0.8942222280063848,1.0
60000,1.8986053,37.3448275862069,0.0,6.001202,-0.8899446193988506,-0.8899446193988506,1.0
70000,1.9059738,37.125475285171106,0.0,5.233682,-0.8860734885163379,-0.8860734885163379,1.0
80000,1.9295857,38.173228346456696,0.0,5.108635,-0.8694834702127562,-0.8694834702127562,1.0
90000,1.9500061,39.25,0.0,4.2370205,-0.8591349437294236,-0.8591349437294236,1.0
100000,1.8886021,41.478813559322035,0.0,4.328339,-0.8556059333732573,-0.8556059333732573,1.0
110000,1.9008892,40.975,0.0,3.6702611,-0.8567731083691621,-0.8567731083691621,1.0
120000,1.9170018,39.26720647773279,0.0,3.3033247,-0.8590963937671309,-0.8590963937671309,1.0
130000,1.9070448,40.475,0.0,3.1299896,-0.8535883399347465,-0.8535883399347465,1.0
140000,1.9335861,41.42553191489362,0.0,2.6886575,-0.8302322086893906,-0.8302322086893906,1.0
150000,1.9327077,42.49130434782609,0.0,2.3942828,-0.8603243485740993,-0.8603243485740993,1.0
160000,1.9786527,39.433734939759034,0.0,2.1345649,-0.874746784567833,-0.874746784567833,1.0
170000,1.9860387,39.79835390946502,0.0,1.6303481,-0.8784795090800426,-0.8784795090800426,1.0
180000,2.0075839,39.270161290322584,0.0,1.4615461,-0.8932811275543459,-0.8932811275543459,1.0
190000,1.9932942,39.25,0.0,1.3211354,-0.8827354868333186,-0.8827354868333186,1.0
200000,2.058419,39.148,0.0,1.2720776,-0.9056320025920868,-0.9056320025920868,1.0
210000,1.9931353,39.17269076305221,0.0,1.0501403,-0.8791405690242966,-0.8791405690242966,1.0
220000,2.0028415,41.99568965517241,0.0,0.95243984,-0.8464706928051752,-0.8464706928051752,1.0
230000,2.0194001,41.952991452991455,0.0,0.7602801,-0.8536515023575321,-0.8536515023575321,1.0
240000,2.068523,41.217021276595744,0.0,0.473219,-0.8914432273072711,-0.8914432273072711,1.0
250000,2.0755396,39.87755102040816,0.0,0.38969138,-0.8628938794136047,-0.8628938794136047,1.0
260000,2.033714,40.260330578512395,0.0,0.21293697,-0.877693391535893,-0.877693391535893,1.0
270000,2.04473,43.052863436123346,0.0,0.13803862,-0.8366643235021751,-0.8366643235021751,1.0
280000,2.0268586,42.426086956521736,0.0,-0.012734173,-0.8632493542902397,-0.8632493542902397,1.0
290000,2.0503287,45.11467889908257,0.0,-0.042849444,-0.8161669679737966,-0.8161669679737966,1.0
300000,2.0660853,45.798122065727696,0.0,-0.044112656,-0.7883755838926969,-0.7883755838926969,1.0
310000,2.1026795,46.459715639810426,0.0,-0.08473842,-0.7958369673145891,-0.7958369673145891,1.0
320000,2.1427286,44.76712328767123,0.0,-0.22240455,-0.7975366987766476,-0.7975366987766476,1.0
330000,2.158579,44.61009174311926,0.0,-0.22533037,-0.7852091336087005,-0.7852091336087005,1.0
340000,2.108031,47.83253588516747,0.0,-0.23724432,-0.7677033782581201,-0.7677033782581201,1.0
350000,2.100275,48.19597989949749,0.0,-0.26690686,-0.7469069295295394,-0.7469069295295394,1.0
360000,2.0780396,49.9030612244898,0.0,-0.40641785,-0.712873088375566,-0.712873088375566,1.0
370000,2.0815802,49.33980582524272,0.0,-0.40216672,-0.754480607503531,-0.754480607503531,1.0
380000,2.02618,51.486338797814206,0.0,-0.41067874,-0.6976093645207584,-0.6976093645207584,1.0
390000,2.050349,51.32692307692308,0.0,-0.40848348,-0.726316652726382,-0.726316652726382,1.0
400000,1.9772401,58.549668874172184,0.0,-0.40585688,-0.5974694399419659,-0.5974694399419659,1.0
410000,1.9662533,57.09826589595376,0.0,-0.42822096,-0.6346845493997846,-0.6346845493997846,1.0
420000,2.0461833,56.27428571428572,0.0,-0.3797336,-0.6139645504951478,-0.6139645504951478,1.0
430000,1.9923593,54.10497237569061,0.0,-0.39255065,-0.6616450317285874,-0.6616450317285874,1.0
440000,1.8641701,61.742138364779876,0.0,-0.38309443,-0.5437634881562406,-0.5437634881562406,1.0
450000,1.7804335,63.9271523178808,0.0,-0.38829145,-0.5349529099230673,-0.5349529099230673,1.0
460000,1.8721579,68.99310344827586,0.0,-0.37679833,-0.4620235616134273,-0.4620235616134273,1.0
470000,1.8826437,67.10884353741497,0.0,-0.37768722,-0.48202049650558054,-0.48202049650558054,1.0
480000,1.7874694,71.56716417910448,0.0,-0.32131332,-0.4351866066455841,-0.4351866066455841,1.0
490000,1.711541,76.58333333333333,0.0,-0.32771367,-0.3951075208006483,-0.3951075208006483,1.0
500000,1.762576,72.18518518518519,0.0,-0.29968375,-0.4137866068769384,-0.4137866068769384,1.0
